0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154
2.295,4.49,7.365,4.755,10.82666667,4.603333333,2.261666667,6.478333333,3.396666667,6.253333333,3.416666667,10.92333333,7.045,6.121666667,16.26,3.545,19.16333333,12.85,7.95,5.235,3.126666667,4.938333333,3.975,8.235,4.988333333,8.735,8.278333333,4.33,12.37,11.78166667,2.176666667,2.688333333,11.26666667,1.795,6.073333333,7.693333333,3.101666667,1.818333333,3.06,5.94,19.01166667,8.833333333,9.98,2.338333333,2.591666667,0.648333333,5.388333333,3.226666667,3.938333333,0.845,2.658333333,7.45,2.576666667,1.601666667,2.3,2.275,9.491666667,3.016666667,4.26,3.285,4.623333333,1.328333333,1.136666667,3.053333333,6.563333333,6.665,4.261666667,6.898333333,5.991666667,12.04666667,5.098333333,4.831666667,1.855,4.025,10.185,8.791666667,3.346666667,6.493333333,2.681666667,10.30333333,14.64,8.748333333,3.238333333,2.695,7.468333333,7.345,9.945,3.886666667,4.385,3.283333333,2.415,2.573333333,4.848333333,6.848333333,4.275,2.81,4.108333333,7.018333333,1.58,3.778333333,2.156666667,6.823333333,6.855,4.716666667,5.856666667,5.333333333,7.34,7.226666667,2.655,2.921666667,2.51,5.84,4.131666667,1.756666667,4.668333333,1.658333333,1.465,2.381666667,2.906666667,7.775,1.103333333,6.033333333,3.453333333,4.555,1.966666667,3.345,1.438333333,4.593333333,5.625,5.16,8.841666667,11.74,2.008333333,4.273333333,2.99,5.218333333,4.173333333,5.861666667,0.895,6.438333333,5.481666667,3.185,8.78,4.068333333,7.135,5.011666667,4.521666667,3.901666667,2.855,4.94,3.106666667,6.593333333,5.536666667,3.928333333,0
6.03,6.696666667,5.726666667,10.58833333,8.963333333,5.093333333,4.148333333,7.688333333,4.005,4.448333333,3.811666667,13.585,8.143333333,7.041666667,14.82166667,4.155,17.425,12.03,7.336666667,6.765,6.008333333,5.668333333,3.3,9.273333333,5.475,9.156666667,6.453333333,6.425,12.08,12.52666667,4.381666667,4.38,12.11666667,2.578333333,6.601666667,8.848333333,4.781666667,3.041666667,3.85,5.75,19.78333333,10.11333333,9.55,3.005,2.708333333,0.79,5.583333333,5.7,4.08,1.301666667,2.856666667,8.976666667,3.385,4.23,5.918333333,4.126666667,7.433333333,4.3,5.421666667,3.616666667,8.163333333,5.446666667,3.31,4.811666667,7.555,6.65,6.963333333,7.84,6.956666667,11.6,5.8,7.451666667,2.483333333,4.818333333,10.81833333,9.756666667,4.443333333,6.83,4.05,11.015,13.235,9.241666667,3.21,3.116666667,8.966666667,6.306666667,8.611666667,3.945,4.165,2.905,2.59,2.513333333,3.566666667,6.365,5.451666667,3.141666667,5.813333333,5.708333333,2.46,3.59,3.058333333,7.876666667,6.27,7.438333333,5.953333333,4.571666667,7.678333333,7.871666667,3.025,3.143333333,2.331666667,3.16,2.953333333,2.241666667,3.561666667,2.428333333,2.906666667,3.443333333,2.476666667,3.673333333,2.008333333,4.921666667,5.15,3.815,1.786666667,4.118333333,2.6,6.208333333,4.756666667,5.605,5.465,10.05333333,2.37,2.638333333,2.653333333,4.825,5.855,6.171666667,2.19,6.1,5.73,3.415,7.798333333,2.325,4.586666667,4.306666667,4.913333333,3.64,2.083333333,3.466666667,2.988333333,4.456666667,4.576666667,3.955,0
14.09833333,12.695,9.771666667,9.928333333,9.185,5.13,7.133333333,7.33,8.776666667,2.545,4.97,10.12333333,7.431666667,10.975,13.82833333,4.483333333,19.34333333,16.52333333,7.918333333,10.67333333,8.648333333,6.068333333,2.766666667,8.868333333,6.518333333,7.983333333,7.716666667,7.745,10.54833333,11.33666667,3.626666667,6.626666667,11.69333333,2.15,6.37,8.32,3.8,6.436666667,2.946666667,5.391666667,18.03,9.195,7.001666667,1.618333333,1.781666667,1.208333333,5.163333333,2.385,2.415,0.486666667,1.505,4.25,2.42,1.42,3.22,1.118333333,7.66,2.4,2.961666667,4.976666667,7.611666667,4.938333333,1.483333333,3.421666667,7.656666667,5.248333333,7.518333333,7.205,6.545,11.20333333,2.793333333,2.518333333,1.808333333,3.803333333,11.40333333,6.17,3.258333333,3.98,1.991666667,7.52,13.205,8.988333333,3.568333333,3.376666667,14.63,4.87,5.741666667,2.223333333,2.325,2.865,2.085,2.43,1.84,5.313333333,2.498333333,2.503333333,4.225,3.938333333,2.96,1.991666667,1.038333333,3.36,1.435,4.686666667,4.345,3.345,4.928333333,5.896666667,1.725,0.531666667,1.14,2.321666667,1.536666667,1.585,1.696666667,1.41,0.466666667,2.773333333,0.88,4.005,1.743333333,4.963333333,1.976666667,2.903333333,0.42,2.918333333,0.936666667,3.843333333,3.856666667,2.733333333,3.285,6.495,2.266666667,1.268333333,1.293333333,3.555,3.896666667,3.001666667,1.235,3.311666667,1.45,2.46,7.586666667,1.946666667,4.055,1.923333333,4.085,1.941666667,0.99,2.47,1.48,1.073333333,1.905,3.743333333,0
13.27833333,11.42666667,10.63333333,9.203333333,10.87833333,6.005,7.131666667,5.3,7.64,2.47,7.488333333,7.391666667,3.976666667,10.075,11.41833333,3.325,11.13166667,15.21833333,6.963333333,9.995,7.783333333,6.94,6.83,9.031666667,5.501666667,7.43,8.586666667,6.976666667,11.505,11.465,3.845,4.826666667,10.87666667,2.203333333,10.76,10.70666667,5.406666667,5.061666667,5.355,4.368333333,15.08166667,8.145,5.041666667,1.781666667,1.978333333,1.845,4.005,4.89,2.018333333,0.546666667,2.02,5.723333333,3.143333333,7.301666667,5.78,2.316666667,4.685,1.361666667,2.705,5.581666667,8.553333333,3.31,2.765,5.71,10.285,5.703333333,7.888333333,5.365,6.91,11.01833333,2.298333333,1.405,1.955,2.945,9.701666667,4.22,1.685,2.028333333,2.37,5.29,12.24833333,8.065,3.506666667,3.361666667,11.42666667,4.406666667,3.676666667,2.348333333,3.253333333,2.861666667,1.83,0.653333333,2.79,4.645,2.391666667,2.515,2.951666667,2.563333333,3.02,1.695,2.068333333,4.721666667,2.561666667,4.533333333,4.305,3.113333333,4.138333333,5.255,2.185,1.033333333,2.113333333,3.478333333,2.855,1.875,3.135,1.566666667,0.561666667,1.988333333,1.815,3.726666667,2.18,3.67,2.728333333,2.525,0.671666667,1.941666667,1.145,3.38,2.58,2.403333333,1.836666667,1.213333333,2.72,2.723333333,1.658333333,3.316666667,4.19,1.775,1.555,3.943333333,2.868333333,3.541666667,6.3,1.436666667,4.588333333,3.113333333,5.655,3.898333333,3.865,3.74,2.52,1.933333333,1.763333333,2.93,0
10.245,10.25,5.166666667,6.668333333,2.485,3.248333333,4.278333333,2.561666667,2.463333333,2.108333333,2.098333333,5.893333333,5.533333333,4.595,11.63833333,2.703333333,5.403333333,10.43833333,5.36,3.576666667,3.428333333,3.906666667,3.3,5.375,1.853333333,5.728333333,5.585,5.246666667,9.228333333,7.496666667,3.695,4.113333333,6.958333333,1.633333333,4.836666667,6.146666667,2.078333333,1.605,2.426666667,2.618333333,9.356666667,3.591666667,7.241666667,2.713333333,3.088333333,1.278333333,1.571666667,2.965,2.168333333,1.093333333,3.698333333,3.518333333,2.085,2.618333333,2.225,1.13,3.596666667,1.476666667,1.625,2.52,2.125,1.315,1.318333333,1.595,3.696666667,1.921666667,3.9,2.388333333,2.928333333,5.851666667,3.641666667,3.483333333,1.418333333,3.901666667,7.608333333,8.81,2.228333333,3.106666667,1.513333333,9.088333333,10.075,7.555,2.301666667,1.92,8.155,5.41,4.251666667,2.146666667,2.525,2.723333333,0.925,1.616666667,3.395,7.318333333,1.3,1.463333333,2.251666667,3.931666667,3.026666667,1.968333333,1.308333333,2.89,2.305,2.77,2.43,2.175,2.483333333,3.765,2.283333333,0.74,4.215,4.986666667,2.498333333,2.606666667,4.788333333,2.2,1.02,1.891666667,5.265,7.41,1.781666667,5.941666667,1.928333333,3.766666667,0.786666667,1.535,1.283333333,3.215,2.816666667,2.76,2.853333333,5.795,3.506666667,4.943333333,1.72,2.486666667,1.52,1.483333333,0.911666667,1.471666667,2.653333333,4.188333333,10.28166667,1.156666667,10.62333333,4.773333333,4.636666667,4.266666667,2.743333333,4.895,2.915,5.27,2.508333333,2.218333333,0
7.045,6.925,3.908333333,4.641666667,1.436666667,1.9,5.86,1.67,1.92,3.21,1.365,4.908333333,5.066666667,1.941666667,5.808333333,3.125,2.186666667,8.185,4.031666667,2.671666667,4.215,3.198333333,1.785,1.918333333,1.323333333,5.045,4.236666667,4.908333333,8.135,7.6,2.525,3.236666667,6.48,1.388333333,3.981666667,4.596666667,1.866666667,3.165,2.336666667,5.806666667,11.13166667,3.371666667,3.728333333,2.661666667,2.093333333,2.498333333,0.838333333,3.081666667,2.558333333,1.076666667,2.555,4.081666667,1.478333333,2.988333333,1.583333333,1.623333333,3.491666667,1.903333333,2.721666667,1.92,1.148333333,1.875,0.861666667,1.46,4.681666667,4.055,5.115,2.586666667,3.755,7.061666667,4.148333333,5.518333333,2.095,6.328333333,6.746666667,8.636666667,3.148333333,6.711666667,4.341666667,9.8,11.435,6.611666667,3.82,1.93,5.02,5.225,7.096666667,4.811666667,4.166666667,3.958333333,2.058333333,2.755,4.901666667,7.153333333,3.68,1.913333333,3.705,7.271666667,4.84,3.445,3.323333333,6.295,4.266666667,4.116666667,4.118333333,2.775,4.101666667,5.068333333,1.963333333,2.428333333,4.106666667,5.623333333,4.296666667,3.1,5.16,3.855,1.351666667,4.373333333,2.965,5.088333333,2.186666667,5.338333333,4.271666667,3.658333333,1.285,3.42,1.386666667,4.493333333,6.185,3.463333333,8.546666667,10.53833333,2.223333333,4.956666667,2.843333333,5.218333333,4.265,7.003333333,1.156666667,4.026666667,5.42,3.558333333,12.12166667,1.471666667,10.95,5.543333333,5.103333333,5.628333333,5.105,6.03,5.813333333,7.266666667,5.106666667,1.656666667,0
5.533333333,4.131666667,3.135,3.995,2.265,3.34,4.313333333,2.186666667,1.495,3.281666667,0.973333333,4.58,6.066666667,2.576666667,4.268333333,2.993333333,3.238333333,5.123333333,3.31,1.058333333,3.633333333,2.29,1.321666667,6.265,3.353333333,3.888333333,4.131666667,3.463333333,7.606666667,8.706666667,2.275,2.188333333,10.12,2.04,4.051666667,5.006666667,3.708333333,3.998333333,4.97,6.053333333,15.76833333,6.516666667,3.62,1.701666667,1.576666667,2.32,3.166666667,2.38,1.558333333,1.713333333,1.976666667,4.303333333,1.768333333,2.695,4.326666667,1.531666667,3.355,2.79,4.401666667,3.211666667,4.22,2.108333333,2.448333333,1.53,4.31,5.153333333,6.196666667,6.781666667,5.04,8.335,3.103333333,3.345,2.991666667,4.06,5.811666667,3.848333333,4.073333333,2.475,2.168333333,5.313333333,10.675,5.416666667,2.456666667,3.101666667,7.565,2.983333333,4.921666667,2.945,3.706666667,2.92,1.295,1.918333333,2.866666667,4.158333333,4.13,3.296666667,4.981666667,3.971666667,3.968333333,3.453333333,2.945,4.911666667,3.721666667,4.09,3.376666667,3.375,5.056666667,4.856666667,2.088333333,2.385,2.346666667,2.98,2.94,2.425,3.15,4.545,3.225,4.193333333,2.413333333,3.485,3.39,4.523333333,2.038333333,3.39,1.393333333,3.776666667,1.636666667,4.628333333,5.183333333,3.543333333,8.991666667,8.638333333,2.09,2.841666667,2.31,4.056666667,4.178333333,4.763333333,1.508333333,5.003333333,3.371666667,2.596666667,7.3,4.676666667,7.106666667,4.81,3.625,3.72,3.326666667,3.481666667,3.261666667,6.67,5.678333333,1.735,0
8.598333333,3.215,4.805,4.31,5.385,0.865,3.563333333,4.186666667,3.686666667,1.963333333,1.486666667,4.628333333,5.695,5.098333333,3.595,1.86,3.098333333,3.72,3.096666667,2.423333333,3.88,2.25,2.535,2.553333333,1.606666667,7.786666667,3.006666667,1.21,5.556666667,3.958333333,1.235,1.5,7.218333333,2.69,4.758333333,2.821666667,1.845,5.331666667,2.628333333,3.215,9.77,4.726666667,2.708333333,2.086666667,2.346666667,1.218333333,2.473333333,2.273333333,1.198333333,0.926666667,1.283333333,1.388333333,1.34,2.363333333,3.235,1.23,3.58,1.263333333,1.9,1.253333333,1.435,0.961666667,1.688333333,2.786666667,5.753333333,1.901666667,3.315,3.96,4.301666667,6.74,1.405,0.73,2.69,1.605,1.436666667,0.793333333,3.973333333,1.22,4.638333333,3.946666667,3.585,3.718333333,3.088333333,1.375,3.768333333,1.608333333,1.02,0.571666667,1.83,1.83,0.663333333,0.936666667,3.74,2.271666667,1.505,1.113333333,2.868333333,1.46,4.325,1.9,0.896666667,1.451666667,1.335,2.313333333,1.246666667,2.468333333,2.211666667,2.776666667,0.906666667,0.69,1.29,1.708333333,1.301666667,1.031666667,1.961666667,1.801666667,0.153333333,2.303333333,1.006666667,3.406666667,1.398333333,2.256666667,1.873333333,3.148333333,0.563333333,3.841666667,0.786666667,3.758333333,3.078333333,4.648333333,4.69,2.618333333,2.416666667,1.393333333,1.786666667,1.668333333,0.793333333,1.758333333,1.511666667,4.225,2.363333333,2.671666667,4.046666667,2.088333333,3.881666667,2.101666667,3.376666667,2.275,1.435,3.401666667,1.705,2.656666667,3.263333333,2.18,0
4.986666667,4.293333333,6.83,4.23,6.65,2.17,1.576666667,2.443333333,2.883333333,1.83,3.121666667,4.545,4.038333333,2.456666667,5.51,1.85,5.298333333,5.388333333,3.206666667,0.815,2.853333333,2.963333333,2.145,1.331666667,1.395,2.87,2.631666667,2.125,4.583333333,2.365,2.421666667,2.056666667,2.615,3.453333333,2.336666667,1.906666667,1.301666667,2.48,3.568333333,2.466666667,5.176666667,3.546666667,2.173333333,1.678333333,2.668333333,1.265,2.308333333,1.765,2.9,0.735,1.683333333,1.841666667,1.161666667,2.52,2.271666667,1.503333333,5.213333333,1.255,1.643333333,1.778333333,1.371666667,1.498333333,1.7,1.475,2.308333333,1.683333333,3.031666667,2.498333333,3.263333333,3.393333333,1.896666667,1.303333333,1.601666667,2.23,3.835,1.403333333,2.473333333,1.553333333,2.538333333,3.058333333,3.338333333,3.276666667,2.238333333,1.611666667,1.408333333,4.248333333,3.341666667,2.305,4.71,4.851666667,2.503333333,1.651666667,4.291666667,5.263333333,2.395,1.578333333,2.661666667,4.19,3.346666667,1.918333333,1.401666667,2.5,1.92,1.958333333,1.063333333,2.328333333,3.685,2.5,1.123333333,1.621666667,5.27,5.635,3.448333333,4.078333333,5.238333333,3.143333333,2.556666667,3.165,3.196666667,7.051666667,2.86,7.811666667,3.013333333,3.208333333,1.443333333,1.878333333,2.113333333,3.663333333,4.033333333,4.181666667,2.3,6.313333333,4.011666667,5.326666667,1.958333333,2.443333333,1.961666667,2.796666667,1.365,4.235,2.586666667,2.793333333,4.538333333,1.771666667,4.568333333,3.215,3.976666667,2.081666667,1.991666667,1.686666667,1.546666667,3.066666667,1.905,2.291666667,0
4.221666667,4.623333333,3.215,3.133333333,4.571666667,1.718333333,1.321666667,1.465,2.083333333,2.59,1.953333333,3.875,2.26,1.625,2.915,1.99,3.645,2.151666667,2.545,1.286666667,2.141666667,2.161666667,1.501666667,2.476666667,0.828333333,2.573333333,1.548333333,0.871666667,2.928333333,4.745,1.503333333,2.461666667,5.188333333,0.836666667,2.558333333,3.356666667,0.675,1.685,1.591666667,5.803333333,8.921666667,5.026666667,9.245,3.945,7.245,3.918333333,4.868333333,2.798333333,4.51,1.433333333,4.78,2.081666667,1.45,2.243333333,1.698333333,1.303333333,5.291666667,1.751666667,2.073333333,3.578333333,1.361666667,2.516666667,0.955,1.803333333,5.103333333,1.476666667,2.978333333,2.705,2.938333333,3.213333333,1.196666667,1.466666667,2.646666667,2.016666667,5.126666667,2.868333333,3.378333333,3.758333333,5.673333333,6.363333333,5.605,5.001666667,3.313333333,1.566666667,2.308333333,9.546666667,9.58,5.215,5.748333333,5.395,3.936666667,3.183333333,3.425,12.14166667,1.946666667,2.211666667,1.591666667,9.363333333,5.528333333,5.568333333,3.046666667,4.303333333,3.04,5.768333333,3.131666667,4.648333333,7.571666667,9.775,1.79,4.295,5.531666667,6.913333333,5.686666667,5.718333333,7.381666667,7.305,4.836666667,4.77,6.62,8.498333333,6.228333333,8.193333333,9.568333333,7.623333333,1.563333333,5.613333333,1.886666667,10.14,8.01,7.908333333,5.938333333,12.23833333,5.98,6.866666667,4.795,5.063333333,4.775,7.551666667,1.88,4.28,7.15,8.251666667,13.49833333,2.678333333,4.795,2.168333333,2.323333333,1.88,2.931666667,3.236666667,1.548333333,4.95,0.841666667,1.318333333,0
